,Lat,Lon,Ispark,Full_name,URL,freq_count2
126,50.3224813,-115.8859094,True,HooDoo Trail,https://www.google.com/maps/place/?q=place_id:ChIJPd1lFvyMelMRru4Kf0MJox8,1
127,51.4162106,-112.8851136,True,Horseshoe Canyon,https://www.google.com/maps/place/?q=place_id:ChIJ_eJv3bwSc1MRggRGlo87IXc,1
129,44.9454235,-79.0120074,False,2200,https://www.google.com/maps/place/?q=place_id:ChIJmYbPVvV61UwRs9nkSwiVXKo,1
132,43.7060208,-79.2316341,True,Scarborough Bluffs Park,https://www.google.com/maps/place/?q=place_id:ChIJK48o16XP1IkRZ02XmwZ_4Bc,1
136,49.83385,-119.5236098,False,Okanagan Lake,https://www.google.com/maps/place/?q=place_id:ChIJm6c_cXb0fVMRAlC8nKrwsBI,1
138,45.30090939999999,-72.0402845,False,Magog Lake,https://www.google.com/maps/place/?q=place_id:ChIJHVfpJfVLtkwRPqZCFINQXjs,1
141,49.2376041,-114.2949518,True,Castle Wildland Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJi1_DxNBib1MRmowDYGWQ0-M,1
142,49.00887909999999,-114.1067458,True,Akamina Ridge,https://www.google.com/maps/place/?q=place_id:ChIJ_3lLfOpYb1MRZ-LmfUfLXXY,1
146,47.6695302448663,-69.5956966813474,False,Saint Lawrence River,https://www.google.com/maps/place/?q=place_id:ChIJOzhsNilMkEwR9BfBx_LBFsk,1
147,46.7725094,-65.00533519999999,True,Kouchibouguac National Park,https://www.google.com/maps/place/?q=place_id:ChIJCfzspQq3oUwRfTTH6GYFueo,4
148,44.65220799999999,-78.8108815,True,Indian Point Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJnaf2K1c61UwRgL9kC5scwBA,1
149,45.0521793,-82.48509399999999,False,Lake Huron,https://www.google.com/maps/place/?q=place_id:ChIJ1QDqZOTpJ4gRPbbY8MXNar8,1
151,45.9979126,-77.7109159,False,Petawawa River,https://www.google.com/maps/place/?q=place_id:ChIJj1O_rFLv1kwRgLb-4HZwxv8,1
152,50.4166667,-57.1666667,False,Long Range Mountains,https://www.google.com/maps/place/?q=place_id:ChIJQ44gHrO0eEsRDlkjSI-xiD4,1
